out_ph_range
---------------------------
10081...{'ionic strength': '120', 'ph': '4.0', 'pressure': '1', 'temperature': '298'}
10084...{'ionic strength': '120', 'ph': '4.5', 'pressure': '1', 'temperature': '298'}
11026...{'ionic strength': '25', 'ph': '4', 'pressure': '744', 'temperature': '298'}
11043...{'ionic strength': '20', 'ph': '3.5', 'pressure': '743', 'temperature': '299'}
11062...{'ionic strength': '0.02', 'ph': '4', 'pressure': '1', 'temperature': '298'}
11322...{'ionic strength': '120', 'ph': '4.5', 'pressure': '1', 'temperature': '298'}
11468...{'ionic strength': '120', 'ph': '3.8', 'pressure': '1', 'temperature': '298'}
15013...{'ionic strength': '-1', 'ph': '3.5', 'pressure': '1', 'temperature': '303'}
15021...{'ionic strength': '0', 'ph': '4.5', 'pressure': '1', 'temperature': '308'}
15086...{'ionic strength': '100', 'ph': '4.4', 'pressure': '1', 'temperature': '298'}
15256...{'ionic strength': '0.05', 'ph': '4.50', 'pressure': '1', 'temperature': '293'}
15259...{'ionic strength': '-1', 'ph': '2.8', 'pressure': '1', 'temperature': '298'}
15261...{'ionic strength': '-1', 'ph': '2.8', 'pressure': '1', 'temperature': '298'}
15265...{'ionic strength': '100', 'ph': '4.5', 'pressure': '1', 'temperature': '298'}
15288...{'ionic strength': '-1', 'ph': '4.5', 'pressure': '1', 'temperature': '293'}
15313...{'ionic strength': '0', 'ph': '3.8', 'pressure': '1', 'temperature': '298'}
15338...{'ionic strength': '100', 'ph': '4.5', 'pressure': '1', 'temperature': '293'}
15354...{'ionic strength': '100', 'ph': '4.5', 'pressure': '1', 'temperature': '298'}
15384...{'ionic strength': '0', 'ph': '4.5', 'pressure': '1', 'temperature': '308'}
15394...{'ionic strength': '-1', 'ph': '4.5', 'pressure': '1', 'temperature': '298.13'}
15399...{'ionic strength': '-1', 'ph': '4.5', 'pressure': '1', 'temperature': '298.13'}
15407...{'ionic strength': '100', 'ph': '2.0', 'pressure': '1', 'temperature': '298'}
15410...{'ionic strength': '0.02', 'ph': '4.6', 'pressure': '1', 'temperature': '298'}
15430...{'ionic strength': '0', 'ph': '4', 'pressure': '1', 'temperature': '298'}
15437...{'ionic strength': '-1', 'ph': '4', 'pressure': '1', 'temperature': '298'}
15438...{'ionic strength': '20', 'ph': '4.8', 'pressure': '1', 'temperature': '310'}
15491...{'ionic strength': '0.1', 'ph': '4.5', 'pressure': '1', 'temperature': '293'}
15601...{'ionic strength': '0.1', 'ph': '4.5', 'pressure': '1', 'temperature': '298'}
15638...{'ionic strength': '10', 'ph': '4', 'pressure': '1', 'temperature': '323'}
15645...{'ionic strength': '50', 'ph': '-1', 'pressure': '1', 'temperature': '298'}
15676...{'ionic strength': '20', 'ph': '4.6', 'pressure': '1', 'temperature': '299'}
15677...{'ionic strength': '0', 'ph': '4.5', 'pressure': '1', 'temperature': '293'}
15717...{'ionic strength': '0.01', 'ph': '8.5', 'pressure': '1', 'temperature': '306'}
15742...{'ionic strength': '0', 'ph': '-1', 'pressure': '1', 'temperature': '298'}
15774...{'ionic strength': '170', 'ph': '4', 'pressure': '1', 'temperature': '323'}
15821...{'ionic strength': '0.1', 'ph': '4.5', 'pressure': '1', 'temperature': '298'}
15833...{'ionic strength': 'NA', 'ph': '4.5', 'pressure': '1', 'temperature': '298'}
15864...{'ionic strength': '0.1', 'ph': '4.7', 'pressure': '1', 'temperature': '308'}
15902...{'ionic strength': '100', 'ph': '4.5', 'pressure': '1', 'temperature': '293'}
15983...{'ionic strength': '10', 'ph': '4.1', 'pressure': '1', 'temperature': '278'}
16030...{'ionic strength': '0.2', 'ph': '4.5', 'pressure': '1', 'temperature': '278'}
16096...{'ionic strength': '0.2', 'ph': '4.5', 'pressure': '1.0', 'temperature': '298'}
16100...{'ionic strength': '435', 'ph': '4.5', 'pressure': '1.0', 'temperature': '298'}
16107...{'ionic strength': '215', 'ph': '4.5', 'pressure': '1.0', 'temperature': '298'}
16136...{'ionic strength': '0', 'ph': '4.5', 'pressure': '1', 'temperature': '300'}
16148...{'ionic strength': '0', 'ph': '2.5', 'pressure': '1', 'temperature': '312'}
16149...{'ionic strength': '-1', 'ph': '2.5', 'pressure': '1', 'temperature': '312'}
16150...{'ionic strength': '0', 'ph': '4.5', 'pressure': '1.0', 'temperature': '300'}
16151...{'ionic strength': '0', 'ph': '4.5', 'pressure': '1.0', 'temperature': '300'}
16152...{'ionic strength': '0', 'ph': '4.5', 'pressure': '1.0', 'temperature': '300'}
16183...{'ionic strength': '0.01', 'ph': '4.5', 'pressure': '1', 'temperature': '293.1'}
16186...{'ionic strength': '0.1', 'ph': '4.5', 'pressure': '1', 'temperature': '293'}
